,yrmts,ppt
249,1915may,9.050000191
250,1915nov,4.869999886
251,1915oct,10.90999985
252,1915sep,11.19999981
253,1916apr,6.630000114
254,1916aug,14.92000008
255,1916dec,1.919999957
256,1916feb,5.199999809
257,1916jan,1.840000033
258,1916jul,14.23999977
259,1916jun,11.10999966
260,1916mar,4.869999886
261,1916may,7.699999809
262,1916nov,3.650000095
263,1916oct,7.809999943
264,1916sep,12.5
265,1917apr,5.619999886
266,1917aug,16.26000023
267,1917dec,5.610000134
268,1917feb,2.839999914
269,1917jan,0.5
270,1917jul,16.85000038
271,1917jun,12.01000023
272,1917mar,1.549999952
273,1917may,7.929999828
274,1917nov,7.059999943
275,1917oct,13.14999962
276,1917sep,13.17000008
277,1918apr,5.809999943
278,1918aug,14.27999973
279,1918dec,2.049999952
280,1918feb,3.049999952
281,1918jan,3.779999971
282,1918jul,12.59000015
283,1918jun,14.98999977
284,1918mar,4.269999981
285,1918may,7.96999979
286,1918nov,4.989999771
287,1918oct,9.840000153
288,1918sep,13.78999996
289,1919apr,6.960000038
290,1919aug,13.31999969
291,1919dec,3.25999999
292,1919feb,3.579999924
293,1919jan,2.460000038
294,1919jul,15.88000011
295,1919jun,11.86999989
296,1919mar,3.619999886
297,1919may,10.55000019
298,1919nov,3.920000076
299,1919oct,6.980000019
300,1919sep,12.26000023
301,1920apr,5.809999943
302,1920aug,15.39999962
303,1920dec,4.53000021
304,1920feb,2.410000086
305,1920jan,3.910000086
306,1920jul,13.76000023
307,1920jun,13.14999962
308,1920mar,2.960000038
309,1920may,9.119999886
310,1920nov,6.25
311,1920oct,8.510000229
312,1920sep,12.01000023
313,1921apr,5.510000229
314,1921aug,13.51000023
315,1921dec,4.739999771
316,1921feb,3.74000001
317,1921jan,3.559999943
318,1921jul,15.31000042
319,1921jun,12.69999981
320,1921mar,6.070000172
321,1921may,8.289999962
322,1921nov,5.639999866
323,1921oct,10.60000038
324,1921sep,12.19999981
325,1922apr,3.74000001
326,1922aug,13.28999996
327,1922dec,4.849999905
328,1922feb,2.50999999
329,1922jan,0.209999993
330,1922jul,15.78999996
331,1922jun,12.59000015
332,1922mar,2.900000095
333,1922may,9.43999958
334,1922nov,3.400000095
335,1922oct,9.890000343
336,1922sep,13.03999996
337,1923apr,5.820000172
338,1923aug,14.11999989
339,1923dec,2.069999933
340,1923feb,2.029999971
341,1923jan,2.410000086
342,1923jul,13.84000015
343,1923jun,9.75
344,1923mar,3.880000114
345,1923may,9.06000042
346,1923nov,6.579999924
347,1923oct,9.270000458
348,1923sep,13.52999973
349,1924apr,6.110000134
350,1924aug,13.23999977
351,1924dec,1.850000024
352,1924feb,4.809999943
353,1924jan,1.120000005
354,1924jul,14.15999985
355,1924jun,11.89000034
356,1924mar,3.269999981
357,1924may,10.77999973
358,1924nov,5.119999886
359,1924oct,8.949999809
360,1924sep,12.18999958
361,1925apr,7.059999943
362,1925aug,13.63000011
363,1925dec,3.609999895
364,1925feb,4.75
365,1925jan,3.099999905
366,1925jul,15.52999973
367,1925jun,12.71000004
368,1925mar,3.769999981
369,1925may,10.5
370,1925nov,4.599999905
371,1925oct,8.069999695
372,1925sep,10.55000019
373,1926apr,9.06000042
374,1926aug,13.28999996
375,1926dec,3.309999943
