,yrmts,ppt
257,1917aug,0.25
258,1917dec,26.79999924
259,1917feb,35.83000183
260,1917jan,17.43000031
261,1917jul,0.870000005
262,1917jun,0
263,1917mar,55.90000153
264,1917may,85.61000061
265,1917nov,29.63999939
266,1917oct,0.029999999
267,1917sep,9.069999695
268,1918apr,110.5999985
269,1918aug,0
270,1918dec,20.65999985
271,1918feb,35.20999908
272,1918jan,26.79999924
273,1918jul,1.700000048
274,1918jun,1.399999976
275,1918mar,69.80000305
276,1918may,92.45999908
277,1918nov,36.79999924
278,1918oct,16.37999916
279,1918sep,85.77999878
280,1919apr,111.5999985
281,1919aug,0
282,1919dec,24.09000015
283,1919feb,36.59999847
284,1919jan,24.05999947
285,1919jul,0
286,1919jun,0
287,1919mar,68.19999695
288,1919may,85.93000031
289,1919nov,13.5
290,1919oct,9.56000042
291,1919sep,19.98999977
292,1920apr,108.8000031
293,1920aug,4.909999847
294,1920dec,24.79999924
295,1920feb,35.04999924
296,1920jan,27.5
297,1920jul,2.019999981
298,1920jun,7.110000134
299,1920mar,64.16999817
300,1920may,79.62999725
301,1920nov,36.59999847
302,1920oct,69.36000061
303,1920sep,6.480000019
304,1921apr,108.0999985
305,1921aug,0
306,1921dec,25.70000076
307,1921feb,38.59999847
308,1921jan,25.5
309,1921jul,0
310,1921jun,1.50999999
311,1921mar,72.09999847
312,1921may,102.1600037
313,1921nov,38.29999924
314,1921oct,20.27000046
315,1921sep,2.50999999
316,1922apr,105.8000031
317,1922aug,1.649999976
318,1922dec,24.70000076
319,1922feb,31.02000046
320,1922jan,16.06999969
321,1922jul,0.170000002
322,1922jun,3.579999924
323,1922mar,62.47999954
324,1922may,100.3199997
325,1922nov,35.04999924
326,1922oct,74.20999908
327,1922sep,0.310000002
328,1923apr,106.6999969
329,1923aug,1.330000043
330,1923dec,21.54000092
331,1923feb,33.36999893
332,1923jan,21.14999962
333,1923jul,0.589999974
334,1923jun,13.06999969
335,1923mar,73.30000305
336,1923may,112.9100037
337,1923nov,15.46000004
338,1923oct,19.07999992
339,1923sep,49.97999954
340,1924apr,103.1699982
341,1924aug,1.600000024
342,1924dec,17.54000092
343,1924feb,40.40000153
344,1924jan,20.81999969
345,1924jul,0
346,1924jun,0.01
347,1924mar,68.29000092
348,1924may,3.880000114
349,1924nov,37.90000153
350,1924oct,78.30000305
351,1924sep,1.340000033
352,1925apr,109.6999969
353,1925aug,1.99000001
354,1925dec,25.60000038
355,1925feb,38.70000076
356,1925jan,25.07999992
357,1925jul,1.799999952
358,1925jun,71.94000244
359,1925mar,71.59999847
360,1925may,157.8999939
361,1925nov,36.90000153
362,1925oct,5.96999979
363,1925sep,25.51000023
364,1926apr,115.8000031
365,1926aug,1.99000001
366,1926dec,24.37000084
367,1926feb,38.79999924
368,1926jan,18.07999992
369,1926jul,0.050000001
370,1926jun,0
371,1926mar,76.5
372,1926may,158.9700012
373,1926nov,39.79999924
374,1926oct,52.77999878
375,1926sep,0.529999971
376,1927apr,108.5999985
377,1927aug,1.200000048
378,1927dec,21.73999977
379,1927feb,38.20000076
380,1927jan,26.39999962
381,1927jul,0.879999995
382,1927jun,13.60000038
383,1927mar,69.30000305
384,1927may,148.1199951
385,1927nov,38.09999847
386,1927oct,42.45000076
387,1927sep,0.479999989
388,1928apr,107.3000031
389,1928aug,0
390,1928dec,19.34000015
391,1928feb,36.49000168
392,1928jan,25.05999947
393,1928jul,0.289999992
394,1928jun,0.75
395,1928mar,72.5
396,1928may,119.2900009
397,1928nov,37.09999847
398,1928oct,7.429999828
399,1928sep,1.629999995
400,1929apr,101.3300018
401,1929aug,0
402,1929dec,26.60000038
403,1929feb,28.44000053
404,1929jan,17.62000084
405,1929jul,0
406,1929jun,39.81000137
407,1929mar,70.69999695
408,1929may,87.23000336
409,1929nov,0
410,1929oct,2.769999981
411,1929sep,0
412,1930apr,107.8000031
413,1930aug,0.519999981
414,1930dec,18.67000008
415,1930feb,41.29999924
416,1930jan,20.70999908
417,1930jul,0
418,1930jun,0
419,1930mar,72.30000305
420,1930may,130.6199951
421,1930nov,39.70000076
422,1930oct,19.68000031
423,1930sep,13.38000011
424,1931apr,113.6999969
425,1931aug,0
426,1931dec,18.36000061
427,1931feb,40.20000076
428,1931jan,24.38999939
429,1931jul,0
430,1931jun,25.26000023
431,1931mar,72.69999695
432,1931may,56.47000122
433,1931nov,34.58000183
434,1931oct,39.00999832
435,1931sep,2.039999962
436,1932apr,99
437,1932aug,0
438,1932dec,12.11999989
439,1932feb,27.07999992
440,1932jan,19.15999985
441,1932jul,1.379999995
442,1932jun,1.450000048
443,1932mar,73.40000153
444,1932may,91.09999847
445,1932nov,30.43000031
446,1932oct,0.889999986
447,1932sep,0
448,1933apr,107.8000031
449,1933aug,0
450,1933dec,24.10000038
451,1933feb,24.45999908
452,1933jan,14.39000034
453,1933jul,0.079999998
454,1933jun,0.660000026
455,1933mar,68.09999847
456,1933may,113
457,1933nov,0.209999993
458,1933oct,59.86000061
459,1933sep,4.659999847
460,1934apr,118.0999985
461,1934aug,0.460000008
462,1934dec,25.5
463,1934feb,39.59999847
464,1934jan,27.5
465,1934jul,0
466,1934jun,15.43000031
467,1934mar,81.30000305
468,1934may,48.50999832
469,1934nov,38.20000076
470,1934oct,54.40999985
471,1934sep,4.159999847
472,1935apr,103.9000015
473,1935aug,2.319999933
474,1935dec,22.29000092
475,1935feb,35.66999817
476,1935jan,20.37000084
477,1935jul,0.25
478,1935jun,23.23999977
479,1935mar,47.97000122
480,1935may,156.5
481,1935nov,33.54000092
482,1935oct,36.74000168
483,1935sep,8.670000076
