Site/Project: McLaughlin 80 sites,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,
Date: Data collected 2009-2010,,,,,,,,,,,
Data description: Trait values,,,,,,,,,,,
Protocols: Traits were collected and measured following the methods of Cornelissen et al. 2003,,,,,,,,,,,
CVS file & path,,,,,,,,,,,
Names of data takers: Harrison Lab,,,,,,,,,,,
"Column info: species, ecotype, height, specific leaf area, leaf area, wet weight, dry weight, leaf water content, carbon:nitrogen, nitrogen, carbon, and functional group",,,,,,,,,,,
"Definitions & Abbreviations: For species and ecotype: s=serpentine, n=non-serpentine, sla = specific leaf area, wgt=weight, lwc = leaf water content, CN  = carbon to nitrogen, N=nitrogen, C = carbon, fnc_grp = functional group",,,,,,,,,,,
species,ecotype,height,sla,area,wet_wgt,dry_wgt,lwc,CN,N,C,fnc_grp
lupinus_succulentus_s,s,16.9,145.1173243,219.548,10.825,1.5129,0.860240185,10.3415978,3.63,37.54,annual forb
madia_exigua_n,n,11.25,222.4161074,3.314,0.0649,0.0149,0.770416025,28.71428571,1.41,40.34,annual forb
madia_gracilis_n,n,30.7,242.5022502,26.942,0.6779,0.1111,0.836111521,20.31443299,1.94,39.41,annual forb
medicago_polymorpha_n,n,19.46,271.1075949,42.835,0.7178,0.158,0.779882976,9.990804598,4.35,43.46,annual forb
medicago_polymorpha_s,s,15.89,198.9073634,25.122,0.4968,0.1263,0.745772947,10.34624697,4.13,42.73,annual forb
melica_californica_n,n,43.2,131.9361277,13.22,0.2255,0.1002,0.555654102,26.80921053,1.52,40.75,perennial grass
melica_californica_s,s,63.7,111.5188897,28.928,0.5065,0.2594,0.487857848,19.26829268,2.05,39.5,perennial grass
melilotus_indica_n,n,74.6,169.4813278,40.845,1.0761,0.241,0.776043119,13.54304636,3.02,40.9,annual forb
melilotus_indica_s,s,24.5,238.603156,40.825,0.7911,0.1711,0.783718872,11.0156658,3.83,42.19,annual forb
micropus_californicus_n,n,18.9,413.47896,3.6775,0.0389,0.0088,0.77377892,16.66135458,2.51,41.82,annual forb
micropus_californicus_s,s,13.7,282.1794872,2.201,0.0314,0.0078,0.751592357,15.14963504,2.74,41.51,annual forb
microseris_douglasii_n,n,8.55,663.7060703,20.774,0.2044,0.0313,0.846868885,19.28823529,1.7,32.79,annual forb
microseris_douglasii_s,s,6,278.2352941,17.974,0.3914,0.0646,0.834951456,16.68292683,2.46,41.04,annual forb
mimulus_douglasii_s,s,1.15,207.4634146,8.506,0.225,0.041,0.817777778,26.64238411,1.51,40.23,annual forb
mimulus_guttatus_s,s,9.6,296.05045,31.09,0.9352,0.09885,0.894300684,10.97375328,3.81,41.81,annual forb
minuartia_californica_s,s,3.6,297.5,0.238,0.0022,0.0008,0.636363636,19.95566502,2.03,40.51,annual forb
minuartia_douglasii_s,s,11.3,125.07616,12.591,0.5418,0.1018,0.812107789,30.5620438,1.37,41.87,annual forb
nassella_pulchra_n,n,50,157.5975474,28.273,0.506,0.1794,0.645454545,41.51546392,0.97,40.27,perennial grass
nassella_pulchra_s,s,46,78.41214535,31.506,0.8313,0.4018,0.516660652,37.1559633,1.09,40.5,perennial grass
navarretia_jepsonii_s,s,9.1,185.9598854,6.49,0.1881,0.0349,0.814460393,32.83064516,1.24,40.71,annual forb
navarretia_pubescens_n,n,23.4,232.1025641,4.526,0.0785,0.0195,0.751592357,33.9765625,1.28,43.49,annual forb
navarretia_pubescens_s,s,11.3,170.5555556,9.517,0.2835,0.0558,0.803174603,26.94968553,1.59,42.85,annual forb
nemophila_heterophylla_n,n,31.1,414.8351648,15.1,0.2375,0.0364,0.846736842,14.78490566,2.65,39.18,annual forb
nemophila_menziesii_n,n,10.5,258,14.19,0.3333,0.055,0.834983498,22.70414201,1.69,38.37,annual forb
nemophila_menziesii_s,s,16.6,346.7253521,9.847,0.2266,0.0284,0.87466902,27.73228346,1.27,35.22,annual forb
nemophilla_pedunculata_s,s,5.92857143,251.6633663,12.709,0.4137,0.0505,0.877930868,13.72636816,2.48,39.26,annual forb
pectocarya_pusilla_n,n,12.25,280.8888889,1.264,0.0188,0.0045,0.760638298,39.29166667,0.96,37.72,annual forb
perideridia_kelloggii_n,n,112.8,132.4914994,327.307,14.3102,2.4704,0.827367891,14.39249147,2.93,42.17,perennial forb
perideridia_kelloggii_s,s,76.7,163.1340631,348.748,9.777,2.1378,0.781343971,16.53386454,2.51,41.5,perennial forb
phacelia_imbricata_n,n,41.9,114.298084,62.041,1.7781,0.5428,0.69473033,23.8961039,1.54,36.8,perennial forb
plagiobothrys_nothofulvus_n,n,24.6,377.2642968,24.409,0.3973,0.0647,0.837150768,20.48167539,1.93,38.34,annual forb
plagiobothrys_nothofulvus_s,s,20.1,312.8343949,29.469,0.6629,0.0942,0.857897119,20.48167539,1.91,39.12,annual forb
plantago_erecta_n,n,6.6,137.1568627,5.596,0.1536,0.0408,0.734375,35.19354839,1.24,43.64,annual forb
plantago_erecta_s,s,8.04,148.0500894,8.276,0.2453,0.0559,0.772115777,28.86577181,1.49,43.01,annual forb
plectritis_ciliosa_n,n,18.1,347.7777778,4.382,0.0799,0.0126,0.842302879,20.42105263,2.09,42.68,annual forb
plectritis_ciliosa_s,s,9.9,349.7282609,12.87,0.2757,0.0368,0.866521581,20.42105263,2.13,44.7,annual forb
poa_bulbosa_n,n,40,228.4180791,4.043,0.0568,0.0177,0.688380282,33.504,1.25,41.88,annual grass
poa_secunda_n,n,56.1,360.6956522,12.444,0.1095,0.0345,0.684931507,41.45098039,1.02,42.28,perennial grass
poa_secunda_s,s,36.3,173.0928807,36.713,0.6209,0.2121,0.658399098,29.00719424,1.39,40.32,perennial grass
polypogon_monspeliensis_n,n,12.05,220.944206,10.296,0.1379,0.0466,0.662073967,48.34722222,0.72,34.81,annual forb
polypogon_monspeliensis_s,s,27.8,163.781362,9.139,0.1669,0.0558,0.665668065,53.70689655,0.58,31.15,annual forb
ranunculus_occidentalis_n,n,48.1,246.4041426,102.307,2.7986,0.4152,0.851640106,18.10599078,2.17,39.29,annual forb
ranunculus_occidentalis_s,s,30.6,118.3664947,48.187,1.82,0.4071,0.776318681,22.81382979,1.88,42.89,annual forb
