Site/Project: McLaughlin 80 sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: Data collected 2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data description: Community weighted mean trait values,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocols: Community weighted mean trait values were calculated using the FD package in R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS file & path,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Names of data takers: Harrison Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Column info: year, site, quadrat, functional richness, functional eveness, functional divergence, functional dispersion, Raup Crick, CWM height, CWM specific leaf area, CWM, leaf area, CWM wet weight, CWM dry weight, CWM leaf water content, CWM, carbon to nitrogen, CWM nitrogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definitions & Abbreviations: Fric=functional richness, Feve=functional evenness, Fdiv=functional divergence, Fdis=functional dispersion, RauQ=Raup Crick, CWM=community weighted mean, sla=specific leaf area, area=leaf area, lwc=leaf water content, CN=carbon to nitrogen, N=nitrogen, ag=with annual grasses, noag=no annual grasses",,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,site,quad,Fric_ag,Feve_ag,Fdiv_ag,Fdis_ag,RaoQ_ag,CWM.height_ag,CWM.sla_ag,CWM.area_ag,CWM.wet_wgt_ag,CWM.dry_wgt_ag,CWM.lwc_ag,CWM.CN_ag,CWM.N_ag,Fric_noag,Feve_noag,Fdivnoag,Fdis_noag,RaoQ_noag,CWM.height_noag,CWM.sla_noag,CWM.area_noag,CWM.wet_wgt_noag,CWM.dry_wgt_noag,CWM.lwc_noag,CWM.CN_noag,CWM.N_noag
2006,3,2,0.038373833,0.322174191,0.79938158,1.212902572,1.678026194,16.61093915,216.7810177,8.515800046,0.231377275,0.042569585,0.7714383,22.7467616,1.950896476,0.019524101,0.318194518,0.696282289,0.667364882,0.729554798,13.757424,231.5555688,10.33761762,0.300398949,0.050136668,0.833054693,17.4789998,2.306295449
2006,3,3,0.052967241,0.353329713,0.889000909,2.006368982,4.328308315,28.24570859,184.7841484,19.13991436,0.549475373,0.170335484,0.715742751,28.36472216,1.866296877,0.052139112,0.68359366,0.864504862,2.013586075,4.360516499,25.6862809,178.7798807,21.07967691,0.614261136,0.189929529,0.730472524,23.62744483,2.028469251
2006,3,4,0.04874385,0.350892375,0.7893085,2.499054382,9.221203045,28.10528054,185.8294603,16.42070385,0.342830353,0.101642744,0.653458788,47.32363807,1.294294005,0.024618539,0.452072259,0.806192546,2.022855828,10.10192887,11.24848705,176.0935263,19.63050312,0.487837083,0.128885337,0.671589691,22.62747417,2.090000011
2006,3,5,0.09773259,0.503077056,0.445669357,1.13812653,2.292419148,44.65632256,214.2172096,32.44591199,0.796011359,0.178737814,0.726840493,23.32679452,2.011757741,0.078584231,0.476504652,0.753661302,1.609985857,3.153155871,32.16717733,208.723332,49.02954001,1.549821184,0.300621577,0.783801971,18.48415862,2.542274477
2006,4,1,0.182173911,0.386215307,0.742147303,1.62384751,4.481885085,29.49139226,188.0635582,30.99429302,1.08897064,0.259452849,0.772618958,21.74136386,2.070668494,0.159305072,0.351776279,0.763109452,1.716895969,4.93493682,26.86253718,187.4927367,30.44191497,1.119820908,0.263141278,0.779673208,20.69084392,2.138839007
2006,4,2,0.425403447,0.346893957,0.853490919,1.51132711,4.049512142,26.53022642,182.3593219,19.10384169,0.555807259,0.1446586,0.717851717,27.13889925,1.640080491,0.370566097,0.369419719,0.818614991,1.777624958,5.709375637,28.67264372,182.1606741,28.06538626,0.852846274,0.217927108,0.774007477,22.86198194,1.954239734
2006,4,3,0.182073426,0.442815603,0.652984976,1.569607789,3.92954933,28.05640145,195.0067159,22.56066642,0.67416677,0.159169778,0.705785282,27.34568366,1.656400395,0.174227906,0.491136692,0.800896236,1.863700787,6.009990875,27.33741526,204.8872894,35.07959922,1.16491283,0.261748095,0.774751919,20.86127202,2.153108106
2006,4,4,0.512264985,0.463465395,0.594985822,1.039308989,2.175873727,63.8242952,194.1994375,45.88170034,0.929340845,0.241273763,0.69434113,31.97178518,1.403113491,0.343959431,0.463392983,0.516615663,1.756980514,4.683551075,32.96945315,194.01456,55.03750412,1.800943396,0.305269136,0.77549513,17.57718609,2.613972629
2006,4,5,0.50874696,0.376173012,0.627533932,2.802195538,11.78060012,108.5705512,178.8781116,92.41461412,2.605501514,0.698042718,0.695530904,29.08613258,1.680969299,0.246257513,0.386121312,0.65046206,3.924940367,17.54895834,194.8272692,146.1287991,206.9720617,6.984499916,1.783579394,0.756143155,14.12187743,3.066684127
2006,5,1,0.080021222,0.452180342,0.824425569,2.245974749,6.108939372,44.74683283,181.5264205,36.42168099,0.92050474,0.202146669,0.69143867,44.77951214,1.321333359,0.038691129,0.762356756,0.611805994,1.182803966,1.625231025,37.08859887,186.8979594,76.10424847,2.368036949,0.407527993,0.799803383,16.02384103,2.556799998
