"ID","calFullname","jepFullname","Family","genus","species","suffix","SerpScore","StrongEndemic","Tolerators","WeakEndemic","Name"
1,"Achnatherum nelsonii (Scribner) Barkworth ssp. dorei Barkworth & J. Maze","Achnatherum nelsonii (Scribn.) Barkworth subsp. dorei (Barkworth & J. R. Maze) Barkworth","POACEAE","Achnatherum","nelsonii","ssp. dorei",1.00,0.00,1.00,1.00,"Achnatherum nelsonii ssp. dorei"
2,"Eriogonum vimineum Benth.","Eriogonum vimineum Benth.","POLYGONACEAE","Eriogonum","vimineum",,1.00,0.00,1.00,1.00,"Eriogonum vimineum "
3,"Erythronium purpurascens S. Watson","Erythronium purpurascens S. Watson","LILIACEAE","Erythronium","purpurascens",,1.00,0.00,1.00,1.00,"Erythronium purpurascens "
4,"Galium clementis Eastw.","Galium clementis Eastw.","RUBIACEAE","Galium","clementis",,1.00,0.00,1.00,1.00,"Galium clementis "
5,"Helianthemum scoparium Nutt.","Helianthemum scoparium Nutt.","CISTACEAE","Helianthemum","scoparium",,1.00,0.00,1.00,1.00,"Helianthemum scoparium "
6,"Holodiscus discolor (Pursh) Maxim.","Holodiscus discolor (Pursh) Maxim.","ROSACEAE","Holodiscus","discolor",,1.00,0.00,1.00,1.00,"Holodiscus discolor "
7,"Plantago erecta E. Morris","Plantago erecta E. Morris","PLANTAGINACEAE","Plantago","erecta",,1.00,0.00,1.00,1.00,"Plantago erecta "
8,"Hazardia whitneyi (A. Gray) E. Greene var. whitneyi","Hazardia whitneyi (A. Gray) Greene var. whitneyi","ASTERACEAE","Hazardia","whitneyi","var. whitneyi",1.00,0.00,1.00,1.00,"Hazardia whitneyi var. whitneyi"
9,"Campanula wilkinsiana E. Greene","Campanula wilkinsiana Greene","CAMPANULACEAE","Campanula","wilkinsiana",,1.00,0.00,1.00,1.00,"Campanula wilkinsiana "
10,"Trifolium amoenum E. Greene","Trifolium amoenum Greene","FABACEAE","Trifolium","amoenum",,1.00,0.00,1.00,1.00,"Trifolium amoenum "
11,"Allium unifolium Kellogg","Allium unifolium Kellogg","LILIACEAE","Allium","unifolium",,1.00,0.00,1.00,1.00,"Allium unifolium "
12,"Calochortus weedii Alph. Wood var. vestus Purdy","Calochortus weedii A. W. Wood var. vestus Purdy","LILIACEAE","Calochortus","weedii","var. vestus",1.00,0.00,1.00,1.00,"Calochortus weedii var. vestus"
13,"Piperia candida R. Morgan & J. Ackerman","Piperia candida Rand. Morgan & Ackerman","ORCHIDACEAE","Piperia","candida",,1.00,0.00,1.00,1.00,"Piperia candida "
14,"Lewisia cantelovii J. Howell","Lewisia cantelovii J. T. Howell","PORTULACACEAE","Lewisia","cantelovii",,1.00,0.00,1.00,1.00,"Lewisia cantelovii "
15,"Lewisia cotyledon (S. Watson) Robinson var. heckneri (C. Morton) Munz","Lewisia cotyledon (S. Watson) B. L. Rob. var. heckneri (C. Morton) Munz","PORTULACACEAE","Lewisia","cotyledon","var. heckneri",1.00,0.00,1.00,1.00,"Lewisia cotyledon var. heckneri"
16,"Cirsium remotifolium (Hook.) DC.","Cirsium remotifolium (Hook.) DC.","ASTERACEAE","Cirsium","remotifolium",,1.03,0.00,1.00,1.00,"Cirsium remotifolium "
17,"Phacelia distans Benth.","Phacelia distans Benth.","HYDROPHYLLACEAE","Phacelia","distans",,1.05,0.00,1.00,1.00,"Phacelia distans "
18,"Solidago multiradiata Aiton","Solidago multiradiata Aiton","ASTERACEAE","Solidago","multiradiata",,1.05,0.00,1.00,1.00,"Solidago multiradiata "
19,"Phacelia purpusii Brandegee","Phacelia purpusii Brandegee","HYDROPHYLLACEAE","Phacelia","purpusii",,1.05,0.00,1.00,1.00,"Phacelia purpusii "
20,"Achnatherum stillmanii (Bolander) Barkworth","Achnatherum stillmanii (Bol.) Barkworth","POACEAE","Achnatherum","stillmanii",,1.05,0.00,1.00,1.00,"Achnatherum stillmanii "
21,"Agrostis microphylla Steudel","Agrostis microphylla Steud.","POACEAE","Agrostis","microphylla",,1.06,0.00,1.00,1.00,"Agrostis microphylla "
22,"Iris macrosiphon Torrey","Iris macrosiphon Torr.","IRIDACEAE","Iris","macrosiphon",,1.08,0.00,1.00,1.00,"Iris macrosiphon "
23,"Silene antirrhina L.","Silene antirrhina L.","CARYOPHYLLACEAE","Silene","antirrhina",,1.08,0.00,1.00,1.00,"Silene antirrhina "
24,"Dicentra chrysantha (Hook. & Arn.) Walp.","Dicentra chrysantha (Hook. & Arn.) Walp.","PAPAVERACEAE","Dicentra","chrysantha",,1.08,0.00,1.00,1.00,"Dicentra chrysantha "
25,"Keckiella lemmonii (A. Gray) Straw","Keckiella lemmonii (A. Gray) Straw","SCROPHULARIACEAE","Keckiella","lemmonii",,1.08,0.00,1.00,1.00,"Keckiella lemmonii "
26,"Brodiaea californica Lindley","Brodiaea californica Lindl.","LILIACEAE","Brodiaea","californica",,1.12,0.00,1.00,1.00,"Brodiaea californica "
27,"Eriogonum ursinum S. Watson","Eriogonum ursinum S. Watson","POLYGONACEAE","Eriogonum","ursinum",,1.12,0.00,1.00,1.00,"Eriogonum ursinum "
28,"Collinsia multicolor Lindley & Paxton","Collinsia multicolor Lindl. & Paxton","SCROPHULARIACEAE","Collinsia","multicolor",,1.12,0.00,1.00,1.00,"Collinsia multicolor "
29,"Melica geyeri Bolander","Melica geyeri Bol.","POACEAE","Melica","geyeri",,1.20,0.00,1.00,1.00,"Melica geyeri "
30,"Allium crispum E. Greene","Allium crispum Greene","LILIACEAE","Allium","crispum",,1.25,0.00,1.00,1.00,"Allium crispum "
31,"Pectocarya pusilla (A. DC.) A. Gray","Pectocarya pusilla (A. DC.) A. Gray","BORAGINACEAE","Pectocarya","pusilla",,1.25,0.00,1.00,1.00,"Pectocarya pusilla "
32,"Sanicula tuberosa Torrey","Sanicula tuberosa Torr.","APIACEAE","Sanicula","tuberosa",,1.25,0.00,1.00,1.00,"Sanicula tuberosa "
33,"Astragalus macrodon (Hook. & Arn.) Gray","Astragalus macrodon (Hook. & Arn.) A. Gray","FABACEAE","Astragalus","macrodon",,1.25,0.00,1.00,1.00,"Astragalus macrodon "
34,"Linanthus bolanderi (A. Gray) E. Greene","Linanthus bolanderi (A. Gray) Greene","POLEMONIACEAE","Linanthus","bolanderi",,1.25,0.00,1.00,1.00,"Linanthus bolanderi "
35,"Ceanothus confusus J. Howell","Ceanothus confusus J. T. Howell","RHAMNACEAE","Ceanothus","confusus",,1.25,0.00,1.00,1.00,"Ceanothus confusus "
36,"Adenostoma fasciculatum Hook. & Arn.","Adenostoma fasciculatum Hook. & Arn.","ROSACEAE","Adenostoma","fasciculatum",,1.30,0.00,1.00,1.00,"Adenostoma fasciculatum "
37,"Festuca idahoensis Elmer","Festuca idahoensis Elmer","POACEAE","Festuca","idahoensis",,1.31,0.00,1.00,1.00,"Festuca idahoensis "
38,"Calyptridium umbellatum (Torrey) E. Greene","Calyptridium umbellatum (Torr.) Greene","PORTULACACEAE","Calyptridium","umbellatum",,1.33,0.00,1.00,1.00,"Calyptridium umbellatum "
39,"Linum lewisii Pursh","Linum lewisii Pursh","LINACEAE","Linum","lewisii",,1.33,0.00,1.00,1.00,"Linum lewisii "
40,"Microseris douglasii (DC.) Schultz-Bip.","Microseris douglasii (DC.) Sch.Bip.","ASTERACEAE","Microseris","douglasii",,1.33,0.00,1.00,1.00,"Microseris douglasii "
41,"Pinus coulteri D. Don","Pinus coulteri D. Don","PINACEAE","Pinus","coulteri",,1.33,0.00,1.00,1.00,"Pinus coulteri "
42,"Tauschia hartwegii (A. Gray) J.F. Macbr.","Tauschia hartwegii (A. Gray) J. F. Macbr.","APIACEAE","Tauschia","hartwegii",,1.33,0.00,1.00,1.00,"Tauschia hartwegii "
43,"Trifolium fucatum Lindley","Trifolium fucatum Lindl.","FABACEAE","Trifolium","fucatum",,1.33,0.00,1.00,1.00,"Trifolium fucatum "
44,"Trifolium willdenovii Sprengel","Trifolium willdenovii Spreng.","FABACEAE","Trifolium","willdenovii",,1.33,0.00,1.00,1.00,"Trifolium willdenovii "
45,"Cacaliopsis nardosmia (A. Gray) A. Gray","Cacaliopsis nardosmia (A. Gray) A. Gray","ASTERACEAE","Cacaliopsis","nardosmia",,1.33,0.00,1.00,1.00,"Cacaliopsis nardosmia "
46,"Ericameria arborescens (A. Gray) E. Greene","Ericameria arborescens (A. Gray) Greene","ASTERACEAE","Ericameria","arborescens",,1.33,0.00,1.00,1.00,"Ericameria arborescens "
47,"Erigeron decumbens Nutt. var. robustior (Cronq.) Cronq.","Erigeron decumbens Nutt. var. robustior (Cronquist) Cronquist","ASTERACEAE","Erigeron","decumbens","var. robustior",1.33,0.00,1.00,1.00,"Erigeron decumbens var. robustior"
48,"Hemizonia congesta DC. ssp. calyculata Babc. & H.M. Hall","Hemizonia congesta DC. subsp. calyculata Babc. & H. M. Hall","ASTERACEAE","Hemizonia","congesta","ssp. calyculata",1.33,0.00,1.00,1.00,"Hemizonia congesta ssp. calyculata"
49,"Hemizonia congesta DC. ssp. congesta","Hemizonia congesta DC. subsp. congesta","ASTERACEAE","Hemizonia","congesta","ssp. congesta",1.33,0.00,1.00,1.00,"Hemizonia congesta ssp. congesta"
50,"Hackelia bella (J.F. Macbr.) I.M. Johnston","Hackelia bella (J. F. Macbr.) I. M. Johnst.","BORAGINACEAE","Hackelia","bella",,1.33,0.00,1.00,1.00,"Hackelia bella "
51,"Eriogonum nudum Benth. var. indictum (Jepson) Rev.","Eriogonum nudum Benth. var. indictum (Jeps.) Reveal","POLYGONACEAE","Eriogonum","nudum","var. indictum",1.33,0.00,1.00,1.00,"Eriogonum nudum var. indictum"
52,"Lewisia cotyledon (S. Watson) Robinson var. howellii (S. Watson) Jepson","Lewisia cotyledon (S. Watson) B. L. Rob. var. howellii (S. Watson) Jeps.","PORTULACACEAE","Lewisia","cotyledon","var. howellii",1.33,0.00,1.00,1.00,"Lewisia cotyledon var. howellii"
53,"Ceanothus sonomensis J. Howell","Ceanothus sonomensis J. T. Howell","RHAMNACEAE","Ceanothus","sonomensis",,1.33,0.00,1.00,1.00,"Ceanothus sonomensis "
54,"Viola purpurea Kellogg ssp. integrifolia M. Baker & J. Clausen","Viola purpurea Kellogg subsp. integrifolia M. S. Baker & J. C. Clausen","VIOLACEAE","Viola","purpurea","ssp. integrifolia",1.33,0.00,1.00,1.00,"Viola purpurea ssp. integrifolia"
55,"Agoseris heterophylla (Nutt.) E. Greene","Agoseris heterophylla (Nutt.) Greene","ASTERACEAE","Agoseris","heterophylla",,1.36,0.00,1.00,1.00,"Agoseris heterophylla "
56,"Arenaria kingii (S. Watson) M.E. Jones var. glabrescens (S. Watson) Maguire","Arenaria kingii (S. Watson) M. E. Jones var. glabrescens (S. Watson) Maguire","CARYOPHYLLACEAE","Arenaria","kingii","var. glabrescens",1.36,0.00,1.00,1.00,"Arenaria kingii var. glabrescens"
57,"Cryptantha intermedia (A. Gray) E. Greene","Cryptantha intermedia (A. Gray) Greene","BORAGINACEAE","Cryptantha","intermedia",,1.36,0.00,1.00,1.00,"Cryptantha intermedia "
58,"Delphinium nuttallianum Walp.","Delphinium nuttallianum Pritz.","RANUNCULACEAE","Delphinium","nuttallianum",,1.36,0.00,1.00,1.00,"Delphinium nuttallianum "
59,"Clarkia biloba (Durand) Nelson & J.F. Macbr. ssp. biloba","Clarkia biloba (Durand) A. Nelson & J. F. Macbr. subsp. biloba","ONAGRACEAE","Clarkia","biloba","ssp. biloba",1.37,0.00,1.00,1.00,"Clarkia biloba ssp. biloba"
60,"Galium andrewsii A. Gray ssp. intermedium Dempster & Stebb.","Galium andrewsii A. Gray subsp. intermedium Dempster & Stebbins","RUBIACEAE","Galium","andrewsii","ssp. intermedium",1.37,0.00,1.00,1.00,"Galium andrewsii ssp. intermedium"
61,"Lewisia rediviva Pursh","Lewisia rediviva Pursh","PORTULACACEAE","Lewisia","rediviva",,1.40,0.00,1.00,1.00,"Lewisia rediviva "
62,"Trifolium microcephalum Pursh","Trifolium microcephalum Pursh","FABACEAE","Trifolium","microcephalum",,1.40,0.00,1.00,1.00,"Trifolium microcephalum "
63,"Carex brainerdii Mackenzie","Carex brainerdii Mack.","CYPERACEAE","Carex","brainerdii",,1.41,0.00,1.00,1.00,"Carex brainerdii "
64,"Phacelia californica Cham.","Phacelia californica Cham.","HYDROPHYLLACEAE","Phacelia","californica",,1.41,0.00,1.00,1.00,"Phacelia californica "
65,"Pinus sabiniana Douglas","Pinus sabiniana D. Don","PINACEAE","Pinus","sabiniana",,1.41,0.00,1.00,1.00,"Pinus sabiniana "
66,"Luina hypoleuca Benth.","Luina hypoleuca Benth.","ASTERACEAE","Luina","hypoleuca",,1.41,0.00,1.00,1.00,"Luina hypoleuca "
67,"Draba howellii S. Watson","Draba howellii S. Watson","BRASSICACEAE","Draba","howellii",,1.41,0.00,1.00,1.00,"Draba howellii "
68,"Streptanthus tortuosus Kellogg var. tortuosus","Streptanthus tortuosus Kellogg var. tortuosus","BRASSICACEAE","Streptanthus","tortuosus","var. tortuosus",1.41,0.00,1.00,1.00,"Streptanthus tortuosus var. tortuosus"
69,"Ligusticum californicum J. Coulter & Rose","Ligusticum californicum J. M. Coult. & Rose","APIACEAE","Ligusticum","californicum",,1.43,0.00,1.00,1.00,"Ligusticum californicum "
70,"Allium acuminatum Hook.","Allium acuminatum Hook.","LILIACEAE","Allium","acuminatum",,1.50,0.00,1.00,1.00,"Allium acuminatum "
71,"Calystegia malacophylla (E. Greene) Munz","Calystegia malacophylla (Greene) Munz","CONVOLVULACEAE","Calystegia","malacophylla",,1.50,0.00,1.00,1.00,"Calystegia malacophylla "
72,"Iris tenuissima Dykes","Iris tenuissima Dykes","IRIDACEAE","Iris","tenuissima",,1.50,0.00,1.00,1.00,"Iris tenuissima "
73,"Pellaea brachyptera (T. Moore) Baker","Pellaea brachyptera (T. Moore) Baker","PTERIDACEAE","Pellaea","brachyptera",,1.50,0.00,1.00,1.00,"Pellaea brachyptera "
74,"Sanicula hoffmannii (Munz) C. Bell","Sanicula hoffmannii (Munz) C. Bell","APIACEAE","Sanicula","hoffmannii",,1.50,0.00,1.00,1.00,"Sanicula hoffmannii "
75,"Cirsium andrewsii (A. Gray) Jepson","Cirsium andrewsii (A. Gray) Jeps.","ASTERACEAE","Cirsium","andrewsii",,1.50,0.00,1.00,1.00,"Cirsium andrewsii "
76,"Grindelia hirsutula Hook. & Arn. var. maritima (E. Greene) M.A. Lane","Grindelia hirsutula Hook. & Arn. var. maritima (Greene) M. A. Lane","ASTERACEAE","Grindelia","hirsutula","var. maritima",1.50,0.00,1.00,1.00,"Grindelia hirsutula var. maritima"
77,"Wyethia bolanderi (A. Gray) W.A. Weber","Wyethia bolanderi (A. Gray) W. A. Weber","ASTERACEAE","Wyethia","bolanderi",,1.50,0.00,1.00,1.00,"Wyethia bolanderi "
78,"Cryptantha excavata Brandegee","Cryptantha excavata Brandegee","BORAGINACEAE","Cryptantha","excavata",,1.50,0.00,1.00,1.00,"Cryptantha excavata "
79,"Lotus junceus (Benth.) E. Greene var. junceus","Lotus junceus (Benth.) Greene var. junceus","FABACEAE","Lotus","junceus","var. junceus",1.50,0.00,1.00,1.00,"Lotus junceus var. junceus"
80,"Swertia fastigiata Pursh","Swertia fastigiata Pursh","GENTIANACEAE","Swertia","fastigiata",,1.50,0.00,1.00,1.00,"Swertia fastigiata "
81,"Calochortus coeruleus (Kellogg) S. Watson","Calochortus coeruleus (Kellogg) S. Watson","LILIACEAE","Calochortus","coeruleus",,1.50,0.00,1.00,1.00,"Calochortus coeruleus "
82,"Calamagrostis stricta (Timm) Koeler ssp. inexpansa (A. Gray) C.W. Greene","Calamagrostis stricta (Timm) Koeler subsp. inexpansa (A. Gray) C. W. Greene","POACEAE","Calamagrostis","stricta","ssp. inexpansa",1.50,0.00,1.00,1.00,"Calamagrostis stricta ssp. inexpansa"
83,"Poa rhizomata A. Hitchc.","Poa rhizomata Hitchc.","POACEAE","Poa","rhizomata",,1.50,0.00,1.00,1.00,"Poa rhizomata "
84,"Polygonum douglasii E. Greene ssp. majus (Meissner) J. Hickman","Polygonum douglasii Greene subsp. majus (Meisn.) J. C. Hickman","POLYGONACEAE","Polygonum","douglasii","ssp. majus",1.50,0.00,1.00,1.00,"Polygonum douglasii ssp. majus"
85,"Ceanothus papillosus Torrey & A. Gray var. roweanus McMinn","Ceanothus papillosus Torr. & A. Gray var. roweanus McMinn","RHAMNACEAE","Ceanothus","papillosus","var. roweanus",1.50,0.00,1.00,1.00,"Ceanothus papillosus var. roweanus"
86,"Rhamnus tomentella Benth. ssp. tomentella","Rhamnus tomentella Benth. subsp. tomentella","RHAMNACEAE","Rhamnus","tomentella","ssp. tomentella",1.50,0.00,1.00,1.00,"Rhamnus tomentella ssp. tomentella"
87,"Apiastrum angustifolium Nutt.","Apiastrum angustifolium Nutt.","APIACEAE","Apiastrum","angustifolium",,1.52,0.00,1.00,1.00,"Apiastrum angustifolium "
88,"Ceanothus cuneatus (Hook.) Nutt. var. cuneatus","Ceanothus cuneatus (Hook.) Nutt. var. cuneatus","RHAMNACEAE","Ceanothus","cuneatus","var. cuneatus",1.52,0.00,1.00,1.00,"Ceanothus cuneatus var. cuneatus"
89,"Elymus trachycaulus (Link) Shinn. ssp. trachycaulus","Elymus trachycaulus (Link) Shinners subsp. trachycaulus","POACEAE","Elymus","trachycaulus","ssp. trachycaulus",1.55,0.00,1.00,1.00,"Elymus trachycaulus ssp. trachycaulus"
90,"Antirrhinum leptaleum A. Gray","Antirrhinum leptaleum A. Gray","SCROPHULARIACEAE","Antirrhinum","leptaleum",,1.55,0.00,1.00,1.00,"Antirrhinum leptaleum "
91,"Linanthus liniflorus (Benth.) E. Greene","Leptosiphon liniflorus (Benth.) J. M. Porter & L. A. Johnson","POLEMONIACEAE","Leptosiphon","liniflorus",,1.56,0.00,1.00,1.00,"Leptosiphon liniflorus "
92,"Cryptantha flaccida (Lehm.) E. Greene","Cryptantha flaccida (Lehm.) Greene","BORAGINACEAE","Cryptantha","flaccida",,1.58,0.00,1.00,1.00,"Cryptantha flaccida "
93,"Salvia sonomensis E. Greene","Salvia sonomensis Greene","LAMIACEAE","Salvia","sonomensis",,1.58,0.00,1.00,1.00,"Salvia sonomensis "
94,"Sidalcea hartwegii Benth.","Sidalcea hartwegii Benth.","MALVACEAE","Sidalcea","hartwegii",,1.58,0.00,1.00,1.00,"Sidalcea hartwegii "
95,"Zigadenus paniculatus (Nutt.) S. Watson","Zigadenus paniculatus","LILIACEAE","Zigadenus","paniculatus",,1.58,0.00,1.00,1.00,"Zigadenus paniculatus "
96,"Hemizonia congesta DC. ssp. tracyi Babc. & H.M. Hall","Hemizonia congesta DC. subsp. tracyi Babc. & H. M. Hall","ASTERACEAE","Hemizonia","congesta","ssp. tracyi",1.58,0.00,1.00,1.00,"Hemizonia congesta ssp. tracyi"
97,"Berberis aquifolium Pursh var. aquifolium","Berberis aquifolium Pursh var. aquifolium","BERBERIDACEAE","Berberis","aquifolium","var. aquifolium",1.58,0.00,1.00,1.00,"Berberis aquifolium var. aquifolium"
98,"Gilia capitata Sims ssp. capitata","Gilia capitata Sims subsp. capitata","POLEMONIACEAE","Gilia","capitata","ssp. capitata",1.58,0.00,1.00,1.00,"Gilia capitata ssp. capitata"
99,"Salix sitchensis Bong.","Salix sitchensis Bong.","SALICACEAE","Salix","sitchensis",,1.58,0.00,1.00,1.00,"Salix sitchensis "
100,"Xerophyllum tenax (Pursh) Nutt.","Xerophyllum tenax (Pursh) Nutt.","LILIACEAE","Xerophyllum","tenax",,1.60,0.00,1.00,1.00,"Xerophyllum tenax "
101,"Polemonium chartaceum H. Mason","Polemonium chartaceum H. Mason","POLEMONIACEAE","Polemonium","chartaceum",,1.62,0.00,1.00,1.00,"Polemonium chartaceum "
102,"Ivesia gordonii (Hook.) Torrey & A. Gray","Ivesia gordonii (Hook.) Torr. & A. Gray","ROSACEAE","Ivesia","gordonii",,1.62,0.00,1.00,1.00,"Ivesia gordonii "
103,"Githopsis pulchella Vatke ssp. campestris Morin","Githopsis pulchella Vatke subsp. campestris N. Morin","CAMPANULACEAE","Githopsis","pulchella","ssp. campestris",1.62,0.00,1.00,1.00,"Githopsis pulchella ssp. campestris"
104,"Fritillaria liliacea Lindley","Fritillaria liliacea Lindl.","LILIACEAE","Fritillaria","liliacea",,1.62,0.00,1.00,1.00,"Fritillaria liliacea "
105,"Streptanthus tortuosus Kellogg var. suffrutescens (E. Greene) Jepson","Streptanthus tortuosus Kellogg var. suffrutescens (Greene) Jeps.","BRASSICACEAE","Streptanthus","tortuosus","var. suffrutescens",1.64,0.00,1.00,1.00,"Streptanthus tortuosus var. suffrutescens"
106,"Bromus laevipes Shear","Bromus laevipes Shear","POACEAE","Bromus","laevipes",,1.66,0.00,1.00,1.00,"Bromus laevipes "
107,"Collinsia sparsiflora Fischer & C. Meyer","Collinsia sparsiflora Fisch. & C. A. Mey.","SCROPHULARIACEAE","Collinsia","sparsiflora",,1.66,0.00,1.00,1.00,"Collinsia sparsiflora "
108,"Lewisia nevadensis (A. Gray) Robinson","Lewisia nevadensis (A. Gray) B. L. Rob.","PORTULACACEAE","Lewisia","nevadensis",,1.66,0.00,1.00,1.00,"Lewisia nevadensis "
109,"Minuartia californica (A. Gray) Mattf.","Minuartia californica (A. Gray) Mattf.","CARYOPHYLLACEAE","Minuartia","californica",,1.66,0.00,1.00,1.00,"Minuartia californica "
110,"Perideridia oregana (S. Watson) Mathias","Perideridia oregana (S. Watson) Mathias","APIACEAE","Perideridia","oregana",,1.66,0.00,1.00,1.00,"Perideridia oregana "
111,"Platystemon californicus Benth.","Platystemon californicus Benth.","PAPAVERACEAE","Platystemon","californicus",,1.66,0.00,1.00,1.00,"Platystemon californicus "
112,"Erigeron lassenianus E. Greene var. deficiens Cronq.","Erigeron lassenianus Greene var. deficiens Cronquist","ASTERACEAE","Erigeron","lassenianus","var. deficiens",1.66,0.00,1.00,1.00,"Erigeron lassenianus var. deficiens"
113,"Eriophyllum lanatum (Pursh) James Forbes var. lanceolatum (Howell) Jepson","Eriophyllum lanatum (Pursh) J. Forbes var. lanceolatum (Howell) Jeps.","ASTERACEAE","Eriophyllum","lanatum","var. lanceolatum",1.66,0.00,1.00,1.00,"Eriophyllum lanatum var. lanceolatum"
114,"Pyrrocoma racemosa (Nutt.) Torrey & A. Gray var. racemosa","Pyrrocoma racemosa (Nutt.) Torr. & A. Gray var. racemosa","ASTERACEAE","Pyrrocoma","racemosa","var. racemosa",1.66,0.00,1.00,1.00,"Pyrrocoma racemosa var. racemosa"
115,"Stebbinsoseris decipiens (Chambers) Chambers","Stebbinsoseris decipiens (K. L. Chambers) K. L. Chambers","ASTERACEAE","Stebbinsoseris","decipiens",,1.66,0.00,1.00,1.00,"Stebbinsoseris decipiens "
116,"Berberis aquifolium Pursh var. repens (Lindley) H. Scoggan","Berberis aquifolium Pursh var. repens (Lindl.) H. Scoggan","BERBERIDACEAE","Berberis","aquifolium","var. repens",1.66,0.00,1.00,1.00,"Berberis aquifolium var. repens"
117,"Vancouveria planipetala Calloni","Vancouveria planipetala Calloni","BERBERIDACEAE","Vancouveria","planipetala",,1.66,0.00,1.00,1.00,"Vancouveria planipetala "
118,"Phacelia imbricata E. Greene ssp. imbricata","Phacelia imbricata Greene subsp. imbricata","HYDROPHYLLACEAE","Phacelia","imbricata","ssp. imbricata",1.66,0.00,1.00,1.00,"Phacelia imbricata ssp. imbricata"
119,"Calochortus uniflorus Hook. & Arn.","Calochortus uniflorus Hook. & Arn.","LILIACEAE","Calochortus","uniflorus",,1.66,0.00,1.00,1.00,"Calochortus uniflorus "
120,"Calamagrostis foliosa Kearney","Calamagrostis foliosa Kearney","POACEAE","Calamagrostis","foliosa",,1.66,0.00,1.00,1.00,"Calamagrostis foliosa "
121,"Lewisia triphylla (S. Watson) Robinson","Lewisia triphylla (S. Watson) B. L. Rob.","PORTULACACEAE","Lewisia","triphylla",,1.66,0.00,1.00,1.00,"Lewisia triphylla "
122,"Ceanothus roderickii Knight","Ceanothus roderickii W. Knight","RHAMNACEAE","Ceanothus","roderickii",,1.66,0.00,1.00,1.00,"Ceanothus roderickii "
123,"Lomatium utriculatum (Torrey & A. Gray) J. Coulter & Rose","Lomatium utriculatum (Torr. & A. Gray) J. M. Coult. & Rose","APIACEAE","Lomatium","utriculatum",,1.70,0.00,1.00,1.00,"Lomatium utriculatum "
124,"Polystichum scopulinum (D. Eaton) Maxon","Polystichum scopulinum (D. C. Eaton) Maxon","DRYOPTERIDACEAE","Polystichum","scopulinum",,1.70,0.00,1.00,1.00,"Polystichum scopulinum "
125,"Scribneria bolanderi (Thurber) Hackel","Scribneria bolanderi (Thurb.) Hack.","POACEAE","Scribneria","bolanderi",,1.70,0.00,1.00,1.00,"Scribneria bolanderi "
126,"Chaenactis glabriuscula DC. var. glabriuscula","Chaenactis glabriuscula DC. var. glabriuscula","ASTERACEAE","Chaenactis","glabriuscula","var. glabriuscula",1.70,0.00,1.00,1.00,"Chaenactis glabriuscula var. glabriuscula"
127,"Eriogonum compositum Benth. var. compositum","Eriogonum compositum Benth. var. compositum","POLYGONACEAE","Eriogonum","compositum","var. compositum",1.70,0.00,1.00,1.00,"Eriogonum compositum var. compositum"
128,"Grindelia hirsutula Hook. & Arn. var. davyi (Jepson) M.A. Lane","Grindelia hirsutula Hook. & Arn. var. davyi (Jeps.) M. A. Lane","ASTERACEAE","Grindelia","hirsutula","var. davyi",1.75,0.00,1.00,1.00,"Grindelia hirsutula var. davyi"
129,"Gutierrezia californica (DC.) Torrey & A. Gray","Gutierrezia californica (DC.) Torr. & A. Gray","ASTERACEAE","Gutierrezia","californica",,1.75,0.00,1.00,1.00,"Gutierrezia californica "
130,"Astragalus curtipes A. Gray","Astragalus curtipes A. Gray","FABACEAE","Astragalus","curtipes",,1.75,0.00,1.00,1.00,"Astragalus curtipes "
131,"Emmenanthe penduliflora Benth. var. penduliflora","Emmenanthe penduliflora Benth. var. penduliflora","HYDROPHYLLACEAE","Emmenanthe","penduliflora","var. penduliflora",1.75,0.00,1.00,1.00,"Emmenanthe penduliflora var. penduliflora"
132,"Chrysothamnus nauseosus (Pallas) Britton ssp. consimilis (E. Greene) H.M. Hall & Clements","Chrysothamnus nauseosus (Pall.) Britton subsp. consimilis (Greene) H. M. Hall & Clem.","ASTERACEAE","Chrysothamnus","nauseosus","ssp. consimilis",1.77,0.00,1.00,1.00,"Chrysothamnus nauseosus ssp. consimilis"
133,"Collomia tinctoria Kellogg","Collomia tinctoria Kellogg","POLEMONIACEAE","Collomia","tinctoria",,1.77,0.00,1.00,1.00,"Collomia tinctoria "
134,"Sanicula bipinnatifida Hook.","Sanicula bipinnatifida Hook.","APIACEAE","Sanicula","bipinnatifida",,1.77,0.00,1.00,1.00,"Sanicula bipinnatifida "
135,"Lathyrus vestitus Nutt. var. vestitus","Lathyrus vestitus Nutt. var. vestitus","FABACEAE","Lathyrus","vestitus","var. vestitus",1.80,0.00,1.00,1.00,"Lathyrus vestitus var. vestitus"
136,"Madia exigua (Smith) A. Gray","Madia exigua (Sm.) A. Gray","ASTERACEAE","Madia","exigua",,1.81,0.00,1.00,1.00,"Madia exigua "
137,"Hesperevax sparsiflora (A. Gray) E. Greene var. sparsiflora","Hesperevax sparsiflora (A. Gray) Greene var. sparsiflora","ASTERACEAE","Hesperevax","sparsiflora","var. sparsiflora",1.81,0.00,1.00,1.00,"Hesperevax sparsiflora var. sparsiflora"
138,"Silene grayi S. Watson","Silene grayi S. Watson","CARYOPHYLLACEAE","Silene","grayi",,1.83,0.00,1.00,1.00,"Silene grayi "
139,"Lilium rubescens S. Watson","Lilium rubescens S. Watson","LILIACEAE","Lilium","rubescens",,1.85,0.00,1.00,1.00,"Lilium rubescens "
