"Site","Scale","Biomass","Year"
"67*L","Landscape",25.90,2000.00
"68*L","Landscape",28.10,2000.00
"69*L","Landscape",36.30,2000.00
"70*L","Landscape",38.80,2000.00
"71*L","Landscape",21.20,2000.00
"72*L","Landscape",28.00,2000.00
"73*L","Landscape",21.30,2000.00
"74*L","Landscape",24.50,2000.00
"75*L","Landscape",12.80,2000.00
"76*L","Landscape",16.60,2000.00
"77*L","Landscape",30.20,2000.00
"78*L","Landscape",14.20,2000.00
"79*L","Landscape",16.10,2000.00
"80*L","Landscape",48.00,2000.00
"81*L","Landscape",13.10,2000.00
"82*L","Landscape",11.20,2000.00
"83*L","Landscape",5.60,2000.00
"84*L","Landscape",16.30,2000.00
"85*L","Landscape",13.90,2000.00
"86*L","Landscape",7.10,2000.00
"87*L","Landscape",8.50,2000.00
"88*L","Landscape",21.20,2000.00
"89*L","Landscape",7.80,2000.00
"90*L","Landscape",8.60,2000.00
"91*L","Landscape",45.10,2000.00
"92*L","Landscape",35.40,2000.00
"93*L","Landscape",33.50,2000.00
"94*L","Landscape",45.80,2000.00
"95*L","Landscape",33.60,2000.00
"96*L","Landscape",15.30,2000.00
"97*L","Landscape",16.00,2000.00
"98*L","Landscape",21.50,2000.00
"99*L","Landscape",70.90,2000.00
"100*L","Landscape",65.80,2000.00
"1*L","Landscape",37.92,2001.00
"2*L","Landscape",4.43,2001.00
"3*L","Landscape",17.17,2001.00
"4*L","Landscape",25.97,2001.00
"5*L","Landscape",23.93,2001.00
"6*L","Landscape",9.90,2001.00
"7*L","Landscape",14.48,2001.00
"8*L","Landscape",9.81,2001.00
"9*L","Landscape",18.46,2001.00
"10*L","Landscape",4.65,2001.00
"11*L","Landscape",20.90,2001.00
"12*L","Landscape",4.75,2001.00
"13*L","Landscape",10.27,2001.00
"14*L","Landscape",12.64,2001.00
"15*L","Landscape",15.57,2001.00
"16*L","Landscape",3.59,2001.00
"17*L","Landscape",6.04,2001.00
"18*L","Landscape",13.51,2001.00
"19*L","Landscape",20.60,2001.00
"20*L","Landscape",26.02,2001.00
"21*L","Landscape",23.86,2001.00
"22*L","Landscape",19.97,2001.00
"23*L","Landscape",37.30,2001.00
"24*L","Landscape",6.81,2001.00
"25*L","Landscape",9.37,2001.00
"26*L","Landscape",16.39,2001.00
"27*L","Landscape",7.31,2001.00
"28*L","Landscape",1.97,2001.00
"29*L","Landscape",8.02,2001.00
"30*L","Landscape",39.45,2001.00
"31*L","Landscape",7.51,2001.00
"32*L","Landscape",12.69,2001.00
"33*L","Landscape",8.97,2001.00
"34*L","Landscape",44.62,2001.00
"35*L","Landscape",40.60,2001.00
"36*L","Landscape",33.84,2001.00
"37*L","Landscape",37.89,2001.00
"38*L","Landscape",11.25,2001.00
"39*L","Landscape",19.23,2001.00
"40*L","Landscape",8.74,2001.00
"41*L","Landscape",10.15,2001.00
"42*L","Landscape",28.50,2001.00
"43*L","Landscape",23.70,2001.00
"44*L","Landscape",12.63,2001.00
"45*L","Landscape",4.42,2001.00
"46*L","Landscape",5.84,2001.00
"47*L","Landscape",3.89,2001.00
"48*L","Landscape",2.22,2001.00
"49*L","Landscape",4.71,2001.00
"50*L","Landscape",30.85,2001.00
"51*L","Landscape",50.14,2001.00
"52*L","Landscape",45.04,2001.00
"53*L","Landscape",43.19,2001.00
"54*L","Landscape",39.69,2001.00
"55*L","Landscape",5.84,2001.00
"56*L","Landscape",9.12,2001.00
"57*L","Landscape",11.46,2001.00
"58*L","Landscape",21.37,2001.00
"59*L","Landscape",38.32,2001.00
"60*L","Landscape",17.18,2001.00
"61*L","Landscape",17.04,2001.00
"62*L","Landscape",39.55,2001.00
"63*L","Landscape",22.49,2001.00
"64*L","Landscape",30.15,2001.00
"65*L","Landscape",28.21,2001.00
"66*L","Landscape",22.64,2001.00
"67*L","Landscape",25.71,2001.00
"68*L","Landscape",25.82,2001.00
"69*L","Landscape",39.03,2001.00
"70*L","Landscape",40.80,2001.00
"71*L","Landscape",10.81,2001.00
"72*L","Landscape",47.98,2001.00
"73*L","Landscape",33.87,2001.00
"74*L","Landscape",32.96,2001.00
"75*L","Landscape",11.42,2001.00
"76*L","Landscape",10.79,2001.00
"77*L","Landscape",49.65,2001.00
"78*L","Landscape",23.26,2001.00
"79*L","Landscape",21.73,2001.00
"80*L","Landscape",49.28,2001.00
"81*L","Landscape",9.35,2001.00
"82*L","Landscape",11.35,2001.00
"83*L","Landscape",27.92,2001.00
"84*L","Landscape",14.24,2001.00
"85*L","Landscape",21.52,2001.00
"86*L","Landscape",10.83,2001.00
"87*L","Landscape",21.28,2001.00
"88*L","Landscape",12.21,2001.00
"89*L","Landscape",5.64,2001.00
"90*L","Landscape",21.67,2001.00
"91*L","Landscape",21.39,2001.00
"92*L","Landscape",45.46,2001.00
"93*L","Landscape",35.08,2001.00
"94*L","Landscape",22.72,2001.00
"95*L","Landscape",19.95,2001.00
"96*L","Landscape",27.06,2001.00
"97*L","Landscape",26.08,2001.00
"98*L","Landscape",14.35,2001.00
"99*L","Landscape",17.41,2001.00
"100*L","Landscape",23.34,2001.00
