"Site*L","Site","Sample_ID","Date_Analysis","Organic_Matter","ENR","Bray P","Olsen P","pH","K","Mg","Ca","Ca_Mg","Na","H","CEC","K_PCT","MG_PCT","CA_PCT","H_PCT","NA_PCT","NO3_N","S","Zinc","Manganese","Iron","Copper","Boron","Cobalt","Nickel","Sol__Salts","SAND","SILT","CLAY","TEXTURE"
"30*L",30,"SH030","""9/19/01""",2.70,83.00,2.40,1.00,6.80,217.60,2148.00,681.70,0.31,11.20,0.70,22.30,2.50,79.10,15.20,3.00,0.20,2.40,0.00,0.90,14.80,11.20,1.90,0.30,1.12,22.59,0.20,42.80,24.00,33.20,"CLAY LOAM"
"31*L",31,"SH031","""9/19/01""",2.10,71.00,2.90,1.00,6.80,182.50,2093.00,481.90,0.23,12.70,0.60,20.80,2.20,82.90,11.60,3.00,0.30,3.20,0.20,1.20,16.90,10.90,1.80,0.30,0.97,16.43,0.20,46.80,20.00,33.20,"SANDY CLAY LOAM"
"32*L",32,"SH032","""9/19/01""",2.60,82.00,2.70,1.00,7.50,64.80,2135.00,1635.00,0.76,18.30,0.00,26.00,0.60,67.60,31.40,0.00,0.30,3.40,0.00,0.60,7.60,4.50,1.00,0.10,0.49,9.08,0.40,46.00,25.00,29.00,"SANDY CLAY LOAM"
"33*L",33,"SH033","""9/19/01""",2.90,87.00,1.00,1.00,7.50,39.90,3060.00,431.30,0.14,15.00,0.00,27.50,0.40,91.60,7.80,0.00,0.20,2.60,0.00,0.80,8.10,5.10,0.80,1.00,0.45,9.63,0.30,42.80,24.00,33.20,"CLAY LOAM"
"34*L",34,"SH034","""9/19/01""",4.60,121.00,4.90,20.50,6.10,236.10,1243.00,2280.00,1.83,21.00,3.60,25.90,2.30,39.40,43.90,14.00,0.40,2.40,0.00,2.40,19.80,31.50,2.70,0.70,0.40,1.52,0.20,28.00,26.70,45.30,"CLAY"
"35*L",35,"SH035","""9/19/01""",5.50,139.00,10.90,66.10,6.40,289.20,1000.00,2329.00,2.32,20.00,2.00,22.70,3.30,36.20,51.20,9.00,0.40,3.00,0.00,2.80,23.50,48.10,2.90,0.90,0.35,2.51,0.20,46.00,25.00,29.00,"SANDY CLAY LOAM"
"36*L",36,"SH036","""9/19/01""",5.80,145.00,46.00,18.40,6.00,412.10,815.10,1868.00,2.29,18.10,3.00,20.20,5.20,33.20,46.20,15.00,0.40,3.60,2.00,2.40,22.10,55.20,1.50,0.50,0.35,1.84,0.30,61.00,22.50,16.50,"SANDY LOAM"
"37*L",37,"SH037","""9/19/01""",4.90,128.00,35.00,25.00,6.20,297.30,781.50,1919.00,2.45,12.70,2.30,19.10,4.00,33.60,50.10,12.00,0.30,3.30,0.00,3.20,32.10,50.40,1.40,0.50,0.45,4.10,0.30,61.00,20.00,19.00,"SANDY LOAM"
"38*L",38,"SH038","""9/19/01""",2.70,84.00,31.00,18.00,6.30,318.40,222.30,1433.00,6.44,11.40,1.20,11.00,7.40,16.60,65.00,10.50,0.50,2.60,0.00,1.10,30.70,18.00,0.70,0.30,0.13,0.34,0.10,71.00,15.00,14.00,"LOAMY SAND"
"39*L",39,"SH039","""9/19/01""",3.00,89.00,6.10,6.30,6.20,318.50,274.10,1385.00,5.05,12.50,1.40,11.40,7.10,19.80,60.60,12.00,0.50,2.40,0.00,1.60,33.30,48.90,1.70,0.20,0.21,0.40,0.10,56.50,27.00,16.50,"SANDY LOAM"
"40*L",40,"SH040","""9/19/01""",4.30,116.00,4.90,10.50,5.80,144.50,600.40,2330.00,3.88,16.40,4.00,21.00,1.80,23.50,55.40,19.00,0.30,2.30,0.00,1.40,35.10,61.30,3.50,0.30,0.26,0.48,0.20,46.50,29.50,24.00,"LOAM"
"41*L",41,"SH041","""9/19/01""",2.20,75.00,20.00,10.30,6.30,342.10,130.20,1111.00,8.53,11.20,0.90,8.40,10.40,12.70,65.80,10.50,0.60,3.20,0.00,0.70,16.30,16.20,0.60,0.20,0.07,0.15,0.10,80.80,6.00,13.20,"LOAMY SAND"
"42*L",42,"SH042","""9/19/01""",3.30,96.00,2.90,10.40,7.30,151.60,2851.00,2741.00,0.96,33.10,0.00,37.70,1.00,62.30,36.30,0.00,0.40,3.30,0.00,0.70,7.30,6.70,2.60,0.30,0.16,5.54,0.30,31.00,25.00,44.00,"CLAY"
"43*L",43,"SH043","""9/19/01""",2.80,87.00,2.10,10.00,7.40,124.70,3260.00,1421.00,0.43,34.90,0.00,34.40,0.90,78.00,20.60,0.00,0.40,3.30,0.00,0.60,7.00,5.60,1.90,0.10,0.20,8.89,0.30,31.30,20.00,48.70,"CLAY"
"44*L",44,"SH044","""9/19/01""",2.40,79.00,2.00,6.90,7.50,46.20,1829.00,834.30,0.45,14.40,0.00,19.40,0.60,77.60,21.50,0.00,0.30,2.60,0.00,0.30,6.00,6.00,0.80,1.10,0.28,12.35,0.20,50.80,16.00,33.20,"SANDY CLAY LOAM"
"45*L",45,"SH045","""9/19/01""",2.60,82.00,4.90,2.90,7.20,60.20,1124.00,760.30,0.67,9.90,0.00,13.20,1.20,69.80,28.70,0.00,0.30,5.80,0.00,0.70,9.90,10.00,1.50,0.20,0.66,13.49,0.30,60.80,26.00,13.20,"SANDY LOAM"
"46*L",46,"SH046","""9/19/01""",2.00,69.00,4.90,1.00,7.20,91.90,1728.00,503.80,0.29,11.30,0.00,17.00,1.40,83.50,14.80,0.00,0.30,7.80,0.00,0.60,10.50,11.90,0.70,0.60,0.51,13.11,0.20,60.80,14.00,25.20,"SANDY CLAY LOAM"
"47*L",47,"SH047","""9/19/01""",1.30,57.00,2.70,1.00,7.40,35.90,1212.00,982.80,0.81,24.30,0.00,15.10,0.60,66.10,32.50,0.00,0.70,5.70,0.00,0.30,5.60,6.20,0.40,1.40,0.12,0.55,0.30,58.50,20.00,21.50,"SANDY CLAY LOAM"
"48*L",48,"SH048","""9/19/01""",0.80,46.00,1.00,1.00,7.40,27.10,1483.00,775.60,0.52,18.10,0.00,16.20,0.40,75.20,23.90,0.00,0.50,2.70,0.00,0.20,6.40,5.00,0.50,0.90,0.51,5.80,0.20,58.50,17.50,24.00,"SANDY CLAY LOAM"
"49*L",49,"SH049","""9/19/01""",1.20,54.00,1.00,1.00,7.50,30.20,1272.00,1675.00,1.31,11.20,0.00,18.90,0.40,55.20,44.10,0.00,0.30,3.60,0.00,0.30,7.40,3.80,0.50,0.50,0.33,4.90,0.20,61.00,20.00,19.00,"SANDY LOAM"
"50*L",50,"SH050","""9/19/01""",3.00,90.00,24.50,16.50,6.50,266.60,421.70,2187.00,5.18,13.50,1.20,16.30,4.20,21.20,66.80,7.50,0.40,2.20,0.00,1.50,22.40,12.80,1.00,0.40,0.16,1.58,0.10,46.00,37.50,16.50,"LOAM"
"51*L",51,"SH051","""9/19/01""",2.80,87.00,26.60,16.90,6.50,185.30,859.50,2267.00,2.63,13.70,1.50,20.40,2.30,34.60,55.30,7.50,0.30,3.40,0.00,1.20,18.20,16.40,1.40,0.40,0.23,5.27,0.20,56.80,20.00,23.20,"SANDY CLAY LOAM"
"52*L",52,"SH052","""9/19/01""",3.40,98.00,2.90,2.30,6.50,319.30,1778.00,1413.00,0.79,13.40,1.80,24.40,3.40,60.00,28.90,7.50,0.20,2.60,0.00,1.10,8.90,11.70,1.40,0.60,0.28,14.32,0.30,44.70,23.30,32.00,"CLAY LOAM"
"53*L",53,"SH053","""9/19/01""",5.30,135.00,24.50,20.60,7.20,249.40,389.50,3242.00,8.32,12.60,0.00,20.10,3.20,16.00,80.60,0.00,0.30,2.20,0.00,3.00,12.10,5.60,1.30,0.90,0.17,0.99,0.30,40.80,34.00,25.20,"LOAM"
"54*L",54,"SH054","""9/19/01""",1.90,67.00,42.40,22.40,6.50,290.50,354.10,2014.00,5.68,17.00,1.10,14.90,5.00,19.50,67.50,7.50,0.50,2.40,0.00,2.40,28.40,11.30,1.70,0.60,0.45,0.80,0.20,34.80,34.00,31.20,"CLAY LOAM"
"55*L",55,"SH055","""9/19/01""",2.40,78.00,4.10,8.90,6.80,121.10,2778.00,770.50,0.27,19.20,0.80,27.90,1.10,81.80,13.80,3.00,0.30,2.40,0.00,0.80,20.60,12.70,1.70,0.20,1.29,19.26,0.20,32.80,24.00,43.20,"CLAY"
