"Site","Year","mpd.obs.z","pd.obs.z","SR"
"1","2000",0.87671217827006,-0.511805383403571,24
"10","2000",0.864159792872494,-1.00458746588972,36
"11","2000",0.519155110224615,-0.777941080365342,41
"12","2000",0.202376872807557,-0.64872488797724,33
"13","2000",0.460403264336813,-0.539493225825495,27
"14","2000",0.863242696583602,-0.374727722273697,38
"15","2000",0.653273179186377,-0.183399275887147,24
"16","2000",-0.0307434508035547,-1.38614787862087,31
"17","2000",0.511024640299158,-0.808042569163824,22
"18","2000",0.133752722094563,-1.44209139619642,23
"19","2000",0.93462835408441,-1.76153114735986,35
"2","2000",1.34690586308616,-0.808129781539607,33
"20","2000",1.38594788061303,-0.772862492646186,24
"21","2000",-0.0305051157380994,-2.4926486224604,20
"22","2000",0.706660210331501,-0.395528812277959,34
"23","2000",1.71860816623251,-1.74240411835814,35
"24","2000",0.39521812047786,-0.982560893274821,26
"25","2000",0.894855606267993,-0.757552057949846,31
"26","2000",-0.487940209638164,-0.735338871995273,24
"27","2000",-0.541388217867589,-2.21550941599411,24
"28","2000",-0.671778249238686,-1.47316203251013,29
"29","2000",-0.496579118159696,-2.36223640018045,26
"3","2000",-0.0919146757407307,-1.70872142193654,37
"30","2000",0.141564791038719,0.136258542782066,26
"31","2000",0.820339304844101,-1.13098107055146,28
"32","2000",0.136507484450601,-1.91468631956784,21
"33","2000",0.58186165337209,-0.195738234831635,24
"34","2000",0.767313516131625,-1.51025103084944,20
"35","2000",0.336251824875035,-1.90790013481715,23
"36","2000",0.967890392423399,-0.377338368577813,20
"37","2000",-0.763872798631655,-2.11390188187872,14
"38","2000",-0.696362875555663,-1.83005532224744,30
"39","2000",0.463768979117635,-1.29563386081001,25
"4","2000",0.557980089571211,-0.0696128472914895,35
"40","2000",0.260362594408484,-0.904433070263759,31
"41","2000",-0.59213274884594,-1.27827420236257,24
"42","2000",-2.06712409843985,-2.21903425522496,12
"43","2000",0.0923358180703804,-0.227632662537651,13
"44","2000",1.15242965874846,-1.08416938153235,25
"45","2000",0.443591823163578,-1.01879593198861,27
"46","2000",0.572248067153232,-2.01625735702031,24
"47","2000",-0.367492781845532,-0.75303853309914,23
"48","2000",0.470314513516567,-0.425332487450238,26
"49","2000",1.14572947488803,-0.322947563204496,18
"5","2000",1.41435946938886,-1.0127225748227,37
"50","2000",-0.239691042229618,-0.819708090098779,23
"51","2000",0.106097574357897,-1.56691935379416,27
"52","2000",-0.284697905798421,-1.15107585154611,27
"53","2000",0.377227881347613,-0.812022045872283,26
"54","2000",-0.0503926288478786,-0.900070878269083,33
"55","2000",0.687644514843744,-0.305329539726246,34
"56","2000",0.724236470526142,-1.70527770928373,24
"57","2000",0.745954889207633,-1.75152850258314,23
"58","2000",1.13990575723259,-0.899006963352565,20
"59","2000",0.590803351054402,-2.80080484526556,30
"6","2000",-0.232089861748415,-0.744900578645724,27
"60","2000",0.912330492561627,-0.662959950435088,28
"61","2000",0.698751136241187,-1.99222257655811,32
"62","2000",0.560262555018813,-1.81308604052361,27
"63","2000",1.06586776942205,-1.38399516346224,34
"64","2000",0.292378424714081,-1.52471800834439,36
"65","2000",0.344400497119823,-2.21532089305458,30
"66","2000",0.686430660411435,-1.02803319097863,28
"67","2000",0.435427204302738,-0.967848360580824,30
"68","2000",1.05017542846621,-1.77366970560384,32
"69","2000",0.448541764148568,-2.777201056834,20
"7","2000",0.6071857821294,-1.42591069985542,31
"70","2000",1.00159965043299,-1.7025650149177,29
"71","2000",0.420433892142258,-1.42643012490014,25
"72","2000",0.509942037246733,-0.259987461546733,25
"73","2000",1.11308654576614,-0.738155859810098,30
"74","2000",0.54123113561996,-1.91108645046585,24
"75","2000",-0.331710523150875,-1.74555286710589,24
"76","2000",-0.447461037891755,-2.31336644526943,25
"77","2000",0.627276515970598,-0.623612052300623,33
"78","2000",0.341008245228842,-1.49892197499769,42
"79","2000",0.676023070774431,-0.672272439874538,31
"8","2000",0.338657912053079,-0.46507630740022,35
"80","2000",0.5008011601869,-1.02031267433447,21
"9","2000",1.10731973356513,-0.742361072707043,22
"1","2001",0.808021307584357,-1.16972308108373,24
"10","2001",0.175396977781391,-1.51977544429039,28
"11","2001",0.361887006501421,-0.734636135083275,40
"12","2001",0.341469640663988,-1.55751708156652,34
"13","2001",-0.313287606368054,-0.715800928890384,28
"14","2001",1.05015018826096,-0.138609988441328,29
"15","2001",0.859934923033211,-0.650428782138065,29
"16","2001",0.318894248821832,-1.347688865937,32
"17","2001",0.778598110454789,-0.380986866315124,15
"18","2001",-0.497728535609882,-3.2908725951249,23
"19","2001",0.984002544708383,-0.71596664935012,28
"2","2001",0.705367022023509,-2.06454516004241,30
"20","2001",1.64562434949156,1.13219930067149,19
"21","2001",0.0419957976599496,-1.77323845117405,17
"22","2001",1.05770551276049,-0.218007385568743,33
"23","2001",1.08573500345942,-1.82919188050542,34
"24","2001",1.02382915364073,-0.385784140111816,34
"25","2001",1.50686305741354,-0.263884193824768,26
"26","2001",0.139717304910776,-0.509390243660857,19
"27","2001",-1.01903981418365,-1.42833547651162,22
"28","2001",-0.976312828914938,-1.5728616555806,23
"29","2001",-0.301268189724177,-0.608849588872868,22
"3","2001",-0.201464571271675,-1.59169347262299,38
"30","2001",0.225693436016373,-0.577649276705972,20
"31","2001",0.600500048739601,-0.678455654160013,24
"32","2001",0.555982960895699,-0.813797991406287,21
"33","2001",0.714399679874264,-0.325614762978794,26
"34","2001",0.471220254537698,-1.97557429068587,13
"35","2001",-0.106097238402392,-3.00993411726824,19
"36","2001",-0.38444343583528,-3.20011211877383,24
"37","2001",0.502500297962774,-1.58832973769465,11
"38","2001",0.145005739485542,-1.2265900395247,29
"39","2001",-0.262277651831153,-0.284402477826521,22
"4","2001",0.130709001533484,-1.36030101021494,29
"40","2001",0.0212926440727464,-1.08247902583106,25
"41","2001",-0.593209382034977,-0.913037724398295,26
"42","2001",-0.285283352060324,-1.63862106154242,27
"43","2001",0.5279264167892,-1.09818066934978,12
"44","2001",1.12388345054792,-1.09908387678735,23
"45","2001",0.220111525757381,-1.50893202974333,19
"46","2001",0.631036958028745,-2.18414468545453,19
"47","2001",0.598059783229,-1.32404489985228,19
"48","2001",0.343826183454891,-2.26262080968026,24
"49","2001",0.681135581910481,-0.705237455840503,21
"5","2001",1.51648898883899,-0.16033273837843,23
"50","2001",-0.0100287479639923,-1.01209833543083,22
"51","2001",0.0638728576694495,-2.23247560128741,27
"52","2001",-0.235639932305568,-1.90129780984146,29
"53","2001",-0.23157995661115,-1.09030739774312,24
"54","2001",0.047084864100611,-0.79690344835551,34
"55","2001",1.05216652259366,-0.579589658649351,28
"56","2001",0.21117080550766,-0.77854070935969,28
"57","2001",0.449356240819995,-1.46912912848861,21
"58","2001",0.712524259993097,-1.61465488546524,17
"59","2001",-0.234012354416156,-1.44030532875593,22
"6","2001",0.898759798989975,-0.920443386031307,29
"60","2001",0.053439932756746,-1.88862812104056,22
"61","2001",1.1120820221134,-0.945679068948587,26
"62","2001",0.400879772263992,-1.62451367123581,22
"63","2001",1.05559172581604,-0.492329523041483,23
"64","2001",-0.496810010247631,-1.65188830176973,28
"65","2001",0.0475725020039087,-2.47527612619494,22
"66","2001",0.801697480235094,-1.78747788165784,19
"67","2001",0.0891516087248269,-0.131783967222547,20
"68","2001",0.780531949619407,0.523567573934081,22
"69","2001",-0.200351611121275,-2.3711959417831,14
"7","2001",0.246723594948045,-2.06848963134031,40
"70","2001",1.11549963063663,-1.04215408409017,18
"71","2001",-0.407494368916104,-1.33941145534188,21
"72","2001",0.123939341763444,-0.942917593155207,23
"73","2001",-0.17163865305581,-2.84195118077831,31
"74","2001",-0.535085322605916,-2.22542874788589,20
"75","2001",-0.00366498296335002,-2.71162762879097,24
"76","2001",-0.767331952913556,-1.97620425439789,23
"77","2001",0.102641694229002,-0.650283501394964,26
"78","2001",-0.205620520780996,-2.67630628438947,37
"79","2001",0.370621489754016,-1.26635885378151,18
"8","2001",-0.12714366957411,-0.0523248137751196,28
"80","2001",0.0755948367448462,-2.06059846953166,9
"9","2001",1.17303342396559,-0.527051870398083,24
"1","2002",0.602428601102755,-1.50928721943552,28
"10","2002",0.610006230599321,-0.29900367422004,32
"11","2002",0.156999965846615,-0.621677668144822,40
"12","2002",0.57348935931514,-0.0251927970065279,32
"13","2002",0.377731544607215,-1.21302793972453,23
"14","2002",1.09125450303341,-0.204457298686442,33
"15","2002",1.1243912727123,-0.840343140343324,36
"16","2002",0.413229654230848,-1.95403372985594,33
"17","2002",0.589321600334817,-0.522082576077159,16
"18","2002",0.387986367322579,-0.417550673317582,22
"19","2002",0.917538203019418,-1.74566015982222,33
"2","2002",0.634197238187576,-1.8792007070612,39
"20","2002",1.18899860142653,0.0869212879238173,19
"21","2002",0.0698843043994572,-1.46251354765571,27
"22","2002",0.567806266391558,-0.437266468708193,43
"23","2002",0.974768154458758,-1.38183423202989,39
"24","2002",1.24244071250888,-0.9751731945782,36
"25","2002",1.00156048647812,-0.511148640828989,40
"26","2002",-0.567658836182691,0.211209303210207,22
"27","2002",-1.89722202248616,-1.18945107066877,24
"28","2002",-0.817966786848428,-0.391507241120557,26
"29","2002",-0.771162468652941,-1.54081811884664,22
"3","2002",-0.388035952951636,-0.212298938951954,43
"30","2002",-0.73344222851389,-0.529695983669991,29
"31","2002",0.13410314723141,-0.0118157950261379,35
"32","2002",-0.738820825397522,-0.203942952596581,31
"33","2002",1.02927062030722,-0.00278263902534598,27
"34","2002",0.494861633401856,-1.77054289798687,16
"35","2002",0.211927698359337,-2.49323657073173,19
"36","2002",-0.104133001760375,-2.33875826273731,18
"37","2002",0.272278648324398,-2.60612697012029,18
"38","2002",0.139784035384166,-0.627467910545437,41
"39","2002",0.739451477551246,-0.0794160612894129,28
"4","2002",0.571354074819853,-1.09478207271475,29
"40","2002",0.360230000427956,-0.800133541957608,35
"41","2002",0.205831686453702,-1.10653963828189,33
"42","2002",0.158971826712758,-1.55541210677811,32
"43","2002",0.45001583643471,-1.45518171016701,14
"44","2002",1.00279534180309,-1.18808577563031,23
"45","2002",1.14645984149256,-1.10112651877729,25
"46","2002",0.862109706432191,-1.72048239741139,21
"47","2002",0.640636940447563,-0.734247299096799,25
"48","2002",0.78728278152402,-0.979131285018241,33
"49","2002",0.7176078198721,-0.5357708815071,23
"5","2002",1.56788006096109,0.832002572630202,26
"50","2002",-0.950265774328252,-1.24412962588081,31
"51","2002",0.151880520037181,-1.67328214097766,34
"52","2002",0.2694990758287,-0.733881019132506,37
"53","2002",-0.228546166032129,-1.341596733193,25
"54","2002",-0.349206467454762,-1.66734758692693,35
"55","2002",0.169705908218661,-0.336170594220143,31
"56","2002",-0.297887012643262,-0.474709364484346,30
"57","2002",0.74206465133881,-1.43729690587626,28
"58","2002",-0.169392549438648,-2.16593431212513,18
"59","2002",-0.18297750491184,-1.52075640354008,31
"6","2002",1.03105366726909,-0.746002898438059,25
"60","2002",0.841552501761705,-0.777967051359106,27
"61","2002",0.997164926029849,-1.49506851464968,31
"62","2002",0.230476099115322,-2.06161473586043,25
"63","2002",1.25358685739921,-1.47699835610366,36
"64","2002",-0.0112300966833098,-0.470721146164814,32
"65","2002",0.0490394131017698,-2.48059232039544,27
"66","2002",0.579229585929261,-1.15552934155798,25
"67","2002",0.77550523322935,0.265035443952023,32
"68","2002",0.57182228175534,-0.553106341389092,30
"69","2002",0.29160609135834,-1.39654805428721,12
"7","2002",0.846877146651265,-0.928556717295894,40
"70","2002",1.26400444218789,-0.888762476575454,21
"71","2002",-0.270133008385005,-1.87442002756892,28
"72","2002",-0.192727229712391,-1.31478531787285,23
"73","2002",0.642598158850276,-1.87950477811503,33
"74","2002",-0.0506064501042587,-2.56841037097101,21
"75","2002",-0.0785785434982536,-2.19423717020191,34
"76","2002",0.363895744872039,-1.18678201417632,32
"77","2002",0.605774150067021,0.445164962799014,35
"78","2002",-0.384007844558345,-2.0958282166509,40
"79","2002",0.180127887123031,-0.571463757230657,28
"8","2002",-0.135754704710623,-0.188573819306367,38
"80","2002",0.0442728535420767,-1.80660707838653,18
"9","2002",0.960632864901329,-0.773510818732203,25
"1","2003",0.432534456315861,-1.63136886384762,31
"10","2003",0.607964757134228,-0.198275223927882,25
"11","2003",-0.470926349903161,-1.29651543062391,34
"12","2003",0.361848660219386,-0.582077933098152,28
"13","2003",0.365225219215946,-0.710675259973429,19
"14","2003",1.03844964671801,-0.27770948795057,31
"15","2003",1.10588313193231,-0.875511407107856,30
"16","2003",-3.67706374008096e-05,-1.79948902423215,33
"17","2003",0.796082305391557,-0.492383249231643,14
"18","2003",-0.756778645281992,-1.93392741543309,20
"19","2003",0.500847611993544,-1.24622622571576,26
"2","2003",0.966855262548818,-1.3512243998164,30
"20","2003",1.57683597758454,-0.373199885606877,13
"21","2003",-0.398909186457101,-1.93090745544219,29
"22","2003",0.733052485013972,0.387895713337935,31
"23","2003",1.23841227604591,-1.29339826544685,34
"24","2003",1.19993707014283,-0.239459263185938,33
"25","2003",0.99098662915588,-0.741685317683144,30
"26","2003",0.0211556366842172,-0.814158118306076,26
"27","2003",-1.87839905868069,-2.18894295955026,26
"28","2003",-1.84811440596378,-0.945641651837575,28
"29","2003",-1.02760910064439,-0.530071179677277,29
"3","2003",-0.29252138117764,-0.467547275277,31
"30","2003",-1.17167805354554,-0.862945741078007,33
"31","2003",0.41147526368364,-1.0836008225387,29
"32","2003",-0.501291028331499,-1.23889699633596,25
"33","2003",0.704524570226025,-0.858238599586169,28
"34","2003",0.613819407427819,-1.14377619710072,14
"35","2003",0.290833943210007,-2.03344099994443,16
"36","2003",0.0340485496002035,-2.36433886489925,16
"37","2003",0.431484878471341,-2.0243273402497,14
"38","2003",-1.67564179415736,-0.891970844105188,31
"39","2003",-0.142594780396318,-1.39220359815385,24
"4","2003",0.84104655672391,-0.939630365322935,23
"40","2003",-0.166296123726136,-1.16359979833713,30
"41","2003",-0.728891048522998,-0.903158341273927,24
"42","2003",0.655996748600777,-0.710152518898642,40
"43","2003",1.03389384928373,-0.874575548658441,21
"44","2003",0.926647989597927,-1.17714818433923,25
"45","2003",0.606264243478683,-1.59214299039182,28
"46","2003",0.701391977277854,-1.86810238041404,25
"47","2003",0.514253148221595,-1.15425862328261,24
"48","2003",0.515729535015286,-1.51285895194665,34
"49","2003",0.169018562671589,-1.24328877223307,28
"5","2003",1.30211455038932,0.435601948236036,20
"50","2003",-1.56776949468472,-1.27328387777941,33
"51","2003",0.286807028573497,-2.0692192147492,41
"52","2003",-0.142090788191855,-0.891301617761206,40
"53","2003",0.390435288186934,-1.39977844672887,31
"54","2003",-0.427194216367554,-1.39662700640058,38
"55","2003",0.0714681569290504,-0.502138115022667,34
"56","2003",-0.136909250203277,-1.21466144564965,34
"57","2003",0.659217739541842,-1.95956063652736,27
"58","2003",0.314571382423943,-1.48478003939624,23
"59","2003",0.0437317205174605,-1.90625153261808,43
"6","2003",0.273768128761802,0.184079288206909,14
"60","2003",0.477058174735388,-2.13619532858587,31
"61","2003",1.12619041568701,-1.1746966263509,27
"62","2003",0.0982265188963479,-2.60525735033633,22
"63","2003",0.4814472620698,-0.683533396932332,36
"64","2003",0.336432537101876,-0.465923250802095,29
"65","2003",-0.0966309164128852,-2.20229192023955,18
"66","2003",0.367304294102307,-1.23647850748939,21
"67","2003",0.128076108882429,-0.767950452115051,22
"68","2003",0.979346958969708,-0.761098130188935,39
"69","2003",0.598547582516005,-2.31777807500943,15
"7","2003",-0.114129223376406,-1.30455270943175,41
"70","2003",1.18766203727124,-1.63582051358792,27
"71","2003",-0.12405936551471,0.0897836315014953,34
"72","2003",0.00720619129738414,-1.61258142915275,27
"73","2003",0.284472759483954,-2.45610410153086,34
"74","2003",0.50302469254148,-1.8816894222933,27
"75","2003",-1.09997876487998,-2.646643628975,35
"76","2003",-1.03840839683105,-2.22288053390182,34
"77","2003",0.527096291229846,0.277426283125216,24
"78","2003",-0.634851137244309,-2.82566058490205,36
"79","2003",0.54605403672676,-0.655477019717001,24
"8","2003",-0.135997611558172,-0.542691505811478,32
"80","2003",0.0155866858096468,-2.3499135929924,15
"9","2003",-0.0247771258528453,-1.11905466697934,26
"1","2004",0.425593107586165,-1.41591529266177,31
"10","2004",0.569654196721473,-0.700485189553628,28
"11","2004",-0.962614543875819,-0.165027903563138,40
"12","2004",-0.390977582129057,-1.01933738458559,29
"13","2004",-0.871769664125887,-0.635805741498195,30
"14","2004",-0.658617647430764,0.244768335108039,37
"15","2004",0.786732155737639,-1.70361072934638,36
"16","2004",-0.473881169971439,-1.6467030144975,32
"17","2004",0.364618341207672,-1.01992226539583,17
"18","2004",-0.425105557363667,-1.21643970194851,22
"19","2004",0.705461026932017,-2.27225419192249,28
"2","2004",0.577063574290324,-1.73845523561261,35
"20","2004",1.48509808769843,0.514004411083286,21
"21","2004",-0.52234265699389,-2.12654849986019,21
"22","2004",0.832274916077917,-0.727176398071853,32
"23","2004",1.17057713421422,-1.55342809523719,31
"24","2004",1.1589791895025,-0.309142274834119,40
"25","2004",1.02760566380281,-1.96057442625712,30
"26","2004",-0.529601679031513,-0.905680128251667,23
"27","2004",-2.1399724411104,-1.6143517520718,25
"28","2004",-0.708569947777462,-0.706792777172522,26
