id,seed_mass_g
Acacia_cardiophylla,15.1
Acacia_carens,30.86
Acacia_caroleae,10.71
Acacia_catechu,45
Acacia_caven,93.9
Acacia_cedroides,9.54
Acacia_celastrifolia,13.08
Acacia_cerastes,5.51
Acacia_chalkeri,9.57
Acacia_chapmanii,3.08
Acacia_chapmanii,3.08
Acacia_cheelii,15.98
Acacia_chisholmii,15.92
Acacia_choriophylla,784.49
Acacia_chrysotricha,16.6
Acacia_cincinnata,11.61
Acacia_citrinoviridis,36.53
Acacia_clandullensis,32.86
Acacia_clydonophora,22.91
Acacia_cochliacantha,37.53
Acacia_cognata,8.11
Acacia_colei,11.64
Acacia_colei,12.55
Acacia_colletioides,7.64
Acacia_collinsii,40.58
Acacia_compacta,35.55
Acacia_complanata,42.9
Acacia_concurrens,8.68
Acacia_conferta,12.6
Acacia_confusa,31
Acacia_congesta,8.43
Acacia_congesta,20.65
Acacia_constablei,14.6
Acacia_constricta,1.4
Acacia_constricta,12.5
Acacia_constricta,13.27
Acacia_continua,7.58
Acacia_coolgardiensis,2.57
Acacia_coriacea,60.84
Acacia_coriacea,70.78
Acacia_cornigera,76.467
Acacia_costiniana,12.46
Acacia_coulteri,93.87
Acacia_cowleana,11.3
Acacia_craspedocarpa,84.8
Acacia_crassa,9.03
Acacia_crassicarpa,25.97
Acacia_crassiuscula,4.496
Acacia_cremiflora,24.79
Acacia_crenulata,5.14
Acacia_cretacea,32.18
Acacia_cultriformis,12.8
Acacia_cuneifolia,18.99
Acacia_cunninghamii,6.153
Acacia_cupularis,16.23
Acacia_curranii,4.33
Acacia_cuthbertsonii,96.55
Acacia_cuthbertsonii,169.123
Acacia_cyanophylla,16.41
Acacia_cyclops,30.3
Acacia_cyperophylla,11.9
Acacia_dallachiana,15.37
Acacia_davyi,42.19
Acacia_dawsonii,4.6
Acacia_dealbata,11.9
Acacia_dealbata,12.54
Acacia_deanei,15.97
Acacia_deanei,18.6
Acacia_decora,12.1
Acacia_decurrens,11.26
Acacia_decurrens,30.1
Acacia_deficiens,8.53
Acacia_depauperata,11.97
Acacia_desmondii,8.422
Acacia_dictyoneura,8.4
Acacia_difficilis,23
Acacia_difformis,46.9
Acacia_discolor,27.25
Acacia_disparrima,13.95
Acacia_disparrima,19.85
Acacia_disticha,7.22
Acacia_dodonaeifolia,20.39
Acacia_dolichostachya,34.99
Acacia_doratoxylon,12.1
Acacia_drepanolobium,46
Acacia_drepanophylla,23.9
Acacia_drummondii,3.1
Acacia_drummondii,10.35
Acacia_drummondii,22.5
Acacia_dudgeoni,92.34
Acacia_dudgeonii,125
Acacia_durabilis,13.91
Acacia_duriuscula,2.55
Acacia_ebutsiniorum,39.25
Acacia_effusa,26.37
Acacia_ehrenbergiana,20.91
Acacia_elachantha,9.59
Acacia_elata,32.5
